 Cloud Cover High [high cld lay], Direct Shortwave Radiation, FAO Reference Evapotranspiration [2 m], Relative Humidity [2 m], Relative Humidity [2 m]_1, Relative Humidity [2 m]_2, Soil Moisture [28-100 cm down], Soil Moisture [28-100 cm down]_10, Soil Moisture [28-100 cm down]_9, Soil Moisture [7-28 cm down], Soil Moisture [7-28 cm down]_7, Soil Moisture [7-28 cm down]_8, Soil Temperature [100-255 cm down], Soil Temperature [100-255 cm down]_3, Soil Temperature [100-255 cm down]_4, Temperature, Temperature [2 m elevation corrected], Temperature [2 m elevation corrected]_1, Temperature [2 m elevation corrected]_2, Temperature_5, Temperature_6, Vapor Pressure Deficit [2 m], Vapor Pressure Deficit [2 m]_1, Vapor Pressure Deficit [2 m]_2,Incendio
5.2083335,4658,3.8812072,81.32415,23.285013,51.685577,0.209,0.20795833,0.205,0.177,0.171,0.17600006,15.71,15.7,15.705005,36.44,24.169106,7.2191057,15.231189,1.22,15.082082,20.257607,1.6371388,8.991601,0
4.8333335,4120,3.638027,87.29495,24.736565,58.077972,0.205,0.2045,0.204,0.171,0.17,0.17050004,15.7,15.69,15.694584,35.6,25.039104,8.669106,15.099523,3.4,15.447085,20.952723,1.2303219,7.7621303,0
1.5833334,4881,4.0869756,84.068115,21.323244,55.17033,0.205,0.20441668,0.204,0.171,0.17,0.1704167,15.69,15.68,15.685414,37.32,25.619104,7.9191055,15.277438,2.27,15.600418,22.683956,1.4650507,8.888464,0
1.125,4910,4.176698,81.33243,17.105463,51.33142,0.204,0.20358336,0.203,0.17,0.17,0.17000002,15.68,15.68,15.679996,36.93,25.239105,8.639105,15.807019,2.26,15.4974985,23.296112,1.8784952,9.44069,0
9.291667,2559,2.5862012,84.79668,53.09193,69.9921,0.205,0.20316668,0.203,0.17,0.169,0.16941662,15.68,15.67,15.674584,27.35,18.969105,11.589105,14.436188,9.08,14.172084,8.96578,1.8293648,4.5618644,0
21.958334,4592,3.806704,93.36004,30.25793,64.97944,0.205,0.20433335,0.203,0.17,0.167,0.16895829,15.68,15.67,15.675834,34.41,24.009106,7.9091053,15.19202,3.89,15.254998,18.237522,0.6101694,6.8271813,0
35.458332,4321,3.801703,88.60351,32.609253,59.58965,0.203,0.2029167,0.202,0.167,0.165,0.16658333,15.67,15.67,15.670003,33.02,23.889105,7.979105,15.244106,2.63,14.685,17.494045,1.0684557,7.4652405,0
27.708334,2106,2.770354,86.782455,36.30159,64.916046,0.202,0.201625,0.201,0.166,0.165,0.1650833,15.67,15.67,15.670003,28.2,21.559105,10.079105,15.169521,8.92,14.423333,14.32445,1.4659863,6.005777,1
8.75,4691,3.9130003,86.63291,22.109823,59.144184,0.202,0.20141669,0.201,0.166,0.166,0.16599995,15.67,15.67,15.670003,34.98,24.669106,9.009106,15.030356,4.41,15.925418,20.794617,1.350647,7.7778306,1
18.666666,5259,4.619584,79.738205,12.34382,49.227467,0.202,0.20095836,0.198,0.166,0.165,0.16541664,15.67,15.67,15.670003,36.84,26.599106,7.649105,15.710357,0.79,15.201665,26.695095,1.8967633,10.385369,1
32.541668,4353,4.0957046,80.10813,19.190468,49.336666,0.198,0.19799997,0.198,0.165,0.163,0.16483332,15.68,15.67,15.672916,36.94,24.389105,8.299106,15.944103,2.21,15.879584,21.626577,1.8778291,9.640458,0
14.916667,4048,3.734508,82.604385,29.380915,57.632244,0.199,0.19845831,0.198,0.164,0.162,0.1625833,15.68,15.68,15.679996,35.2,23.529104,9.559105,15.315773,5.11,15.772084,17.932951,1.9675694,7.5876956,1
